N,S,D,T,puV2est
0,1,1,1,1
0,1,1,2,1
0,1,1,3,1
0,1,1,4,1
0,1,1,5,1
0,1,1,6,1
0,1,1,7,1
0,1,1,8,1
0,1,1,9,1
0,1,1,10,1
0,1,1,11,1
0,1,1,12,1
0,1,1,13,1
0,1,1,14,1
0,1,1,15,1
0,1,1,16,1
0,1,1,17,1
0,1,1,18,1
0,1,1,19,1
0,1,1,20,1
0,1,1,21,1
0,1,1,22,1
0,1,1,23,1
0,1,1,24,1
0,1,2,1,1
0,1,2,2,1
0,1,2,3,1
0,1,2,4,1
0,1,2,5,1
0,1,2,6,1
0,1,2,7,1
0,1,2,8,1
0,1,2,9,1
0,1,2,10,1
0,1,2,11,1
0,1,2,12,1
0,1,2,13,1
0,1,2,14,1
0,1,2,15,1
0,1,2,16,1
0,1,2,17,1
0,1,2,18,1
0,1,2,19,1
0,1,2,20,1
0,1,2,21,1
0,1,2,22,1
0,1,2,23,1
0,1,2,24,1
0,1,3,1,1
0,1,3,2,1
0,1,3,3,1
0,1,3,4,1
0,1,3,5,1
0,1,3,6,1
0,1,3,7,1
0,1,3,8,1
0,1,3,9,1
0,1,3,10,1
0,1,3,11,1
0,1,3,12,1
0,1,3,13,1
0,1,3,14,1
0,1,3,15,1
0,1,3,16,1
0,1,3,17,1
0,1,3,18,1
0,1,3,19,1
0,1,3,20,1
0,1,3,21,1
0,1,3,22,1
0,1,3,23,1
0,1,3,24,1
0,2,1,1,1
0,2,1,2,1
0,2,1,3,1
0,2,1,4,1
0,2,1,5,1
0,2,1,6,1
0,2,1,7,1
0,2,1,8,1
0,2,1,9,1
0,2,1,10,1
0,2,1,11,1
0,2,1,12,1
0,2,1,13,1
0,2,1,14,1
0,2,1,15,1
0,2,1,16,1
0,2,1,17,1
0,2,1,18,1
0,2,1,19,1
0,2,1,20,1
0,2,1,21,1
0,2,1,22,1
0,2,1,23,1
0,2,1,24,1
0,2,2,1,1
0,2,2,2,1
0,2,2,3,1
0,2,2,4,1
0,2,2,5,1
0,2,2,6,1
0,2,2,7,1
0,2,2,8,1
0,2,2,9,1
0,2,2,10,1
0,2,2,11,1
0,2,2,12,1
0,2,2,13,1
0,2,2,14,1
0,2,2,15,1
0,2,2,16,1
0,2,2,17,1
0,2,2,18,1
0,2,2,19,1
0,2,2,20,1
0,2,2,21,1
0,2,2,22,1
0,2,2,23,1
0,2,2,24,1
0,2,3,1,1
0,2,3,2,1
0,2,3,3,1
0,2,3,4,1
0,2,3,5,1
0,2,3,6,1
0,2,3,7,1
0,2,3,8,1
0,2,3,9,1
0,2,3,10,1
0,2,3,11,1
0,2,3,12,1
0,2,3,13,1
0,2,3,14,1
0,2,3,15,1
0,2,3,16,1
0,2,3,17,1
0,2,3,18,1
0,2,3,19,1
0,2,3,20,1
0,2,3,21,1
0,2,3,22,1
0,2,3,23,1
0,2,3,24,1
0,3,1,1,1
0,3,1,2,1
0,3,1,3,1
0,3,1,4,1
0,3,1,5,1
0,3,1,6,1
0,3,1,7,1
0,3,1,8,1
0,3,1,9,1
0,3,1,10,1
0,3,1,11,1
0,3,1,12,1
0,3,1,13,1
0,3,1,14,1
0,3,1,15,1
0,3,1,16,1
0,3,1,17,1
